Students	800
613	79 26 32 44
614	27 71 72 9
615	18 80 5 16
616	33 75 36 7
617	3 56 14 12
618	46 69 56 27
619	5 12 60 10
620	39 45 10 48
621	57 77 10 11
622	18 3 24 73
623	13 62 55 54
624	45 64 63 47
625	8 49 6 45
626	2 41 8 51
627	33 8 49 66
628	1 54 60 39
629	62 14 24 6
630	30 63 20 52
631	32 25 70 51
632	47 56 64 40
633	77 36 34 50
634	1 5 3 48
635	59 9 46 18
636	77 43 75 34
637	1 12 17 60
638	71 3 77 24
639	50 35 75 74
640	31 28 57 17
641	63 74 30 8
642	33 63 23 13
643	33 15 56 14
644	68 53 50 30
645	47 80 29 52
646	18 39 22 15
647	58 40 39 64
648	8 76 40 22
649	20 9 53 30
650	11 74 60 12
651	1 20 77 36
652	70 40 46 51
653	38 53 69 15
654	36 6 3 24
655	25 39 24 78
656	79 27 39 61
657	18 33 61 57
658	10 23 24 77
659	16 21 75 68
660	15 49 34 62
661	58 10 33 9
662	15 75 18 72
663	17 34 29 79
664	63 45 37 13
665	21 53 60 70
666	79 47 30 67
667	5 8 22 55
668	8 77 75 15
669	19 30 3 48
670	33 66 55 54
671	77 66 23 24
672	50 68 31 1
673	14 42 72 65
674	35 33 14 42
675	66 11 63 16
676	64 76 12 20
677	3 80 64 34
678	42 23 58 65
679	29 77 40 62
680	20 5 19 78
681	32 14 48 23
682	50 8 67 17
683	36 71 14 47
684	6 27 63 71
685	11 57 5 38
686	8 24 20 64
687	49 19 51 53
688	8 54 9 19
689	47 53 4 17
690	10 24 42 66
691	61 46 57 7
692	20 18 15 16
693	55 2 78 53
694	14 56 13 71
695	49 54 65 32
696	66 29 19 61
697	47 25 1 62
698	2 25 63 24
699	68 60 78 40
700	51 77 37 8
701	10 30 13 41
702	62 78 17 69
703	79 23 56 11
704	39 42 3 80
705	37 75 51 65
706	34 5 17 61
707	40 53 58 80
708	26 6 49 3
709	77 23 19 3
710	31 49 55 64
711	45 57 67 34
712	20 64 48 50
713	5 63 67 30
714	14 57 20 67
715	8 63 34 45
716	20 69 34 16
717	59 71 72 37
718	58 1 57 10
719	38 25 77 16
720	79 14 18 52
721	77 79 16 72
722	3 25 64 9
723	48 3 52 22
724	33 21 63 5
725	70 50 18 63
726	70 47 51 64
727	61 46 20 50
728	30 71 7 12
729	70 36 32 3
730	54 15 10 37
731	79 13 45 38
732	73 37 77 56
733	20 59 31 56
734	35 65 9 34
735	19 67 38 45
736	21 25 11 44
737	68 48 16 45
738	33 19 11 35
739	74 48 8 71
740	50 47 66 59
741	65 17 19 48
742	32 36 18 70
743	58 3 59 12
744	10 63 42 76
745	58 64 69 54
746	3 67 40 9
747	63 70 21 31
748	53 48 51 12
749	41 53 6 50
750	44 12 22 28
751	46 50 8 53
752	30 56 37 60
753	44 31 54 53
754	59 19 43 70
755	54 64 21 23
756	74 64 77 58
757	55 14 58 25
758	20 62 19 72
759	71 3 16 78
760	52 32 51 78
761	60 67 63 54
762	33 54 80 64
763	9 64 70 28
764	79 40 76 55
765	12 38 3 24
766	68 79 29 12
767	45 28 57 7
768	6 7 65 1
769	71 75 69 14
770	71 77 59 78
771	56 72 9 49
772	12 2 48 25
773	21 27 61 3
774	60 62 48 11
775	11 9 76 8
776	17 16 39 67
777	40 41 64 24
778	62 31 20 68
779	45 26 52 79
780	25 54 20 9
781	73 6 41 23
782	53 46 59 78
783	18 76 79 34
784	38 23 17 66
785	79 37 73 13
786	11 5 15 73
787	37 10 65 32
788	23 75 20 58
789	76 62 65 74
790	5 76 21 80
791	31 69 7 44
792	39 67 50 37
793	64 3 63 78
794	56 58 78 36
795	7 61 15 39
796	68 2 79 22
797	52 58 18 16
798	43 25 71 40
799	75 77 22 30
800	80 4 34 8
