Students	1177
279	213 117 565 54 528 
738	359 359 374 439 632 
1067	117 565 528 
524	202 524 296 
525	108 375 520 147 
526	328 251 155 
527	618 359 313 359 466 
520	359 359 195 295 632 
521	258 669 213 528 
522	573 259 62 655 
523	174 202 448 353 
1014	377 606 192 
1015	448 11 7 29 
599	108 346 714 
1017	709 15 709 590 355 321 
528	321 87 576 436 308 188 
529	546 597 506 18 
994	560 258 118 57 11 
1013	625 98 19 585 
1025	669 15 359 439 359 632 
449	521 33 155 
448	553 466 431 71 258 
443	309 704 359 313 359 
442	82 119 189 84 
441	682 457 359 359 709 709 
440	697 730 598 446 
447	478 33 709 709 372 466 
446	9 240 462 445 275 
445	412 651 651 549 737 737 
444	107 333 333 458 365 322 322 19 
108	18 344 239 62 
109	236 376 412 106 
1135	487 560 577 63 
102	204 268 128 662 258 
103	553 648 397 63 
100	84 96 737 737 514 
101	438 583 445 481 
106	547 709 709 333 333 548 181 64 
107	71 258 130 344 238 
104	87 321 239 295 385 
105	315 328 155 
902	347 385 395 686 
903	24 382 28 577 707 
39	321 202 370 632 385 
38	709 709 590 632 363 
906	434 539 134 318 
907	146 123 347 541 
905	709 709 549 399 236 
33	315 328 204 525 
32	353 354 688 664 
31	314 594 284 489 252 
30	10 299 437 541 
37	532 747 478 87 
36	113 524 481 618 
35	313 172 563 359 359 
34	359 359 341 632 33 
641	437 413 492 327 
640	542 680 179 213 528 
643	427 244 574 613 4 
642	313 651 651 452 535 
645	500 630 89 524 548 591 
644	71 258 254 659 305 
438	574 627 209 323 603 
439	347 333 298 333 631 385 
436	563 747 127 297 297 
437	557 252 600 437 489 
434	448 364 71 258 
435	147 235 128 
432	193 289 91 386 
433	318 392 282 22 124 
430	224 585 58 225 
431	365 422 640 573 107 379 
1156	359 359 476 344 341 
1002	664 209 18 311 
339	651 737 737 493 208 651 
338	719 182 7 299 
335	721 563 567 202 
334	637 123 629 585 
337	618 305 108 132 
336	60 484 709 359 359 709 
331	71 258 692 155 
330	747 192 350 717 
333	352 108 251 157 
332	548 500 168 322 322 64 
1120	372 709 709 305 714 632 
744	687 235 72 546 
1000	654 500 216 298 548 89 
745	199 359 359 323 544 
854	297 297 483 704 689 
818	115 229 332 376 
856	719 352 357 665 
857	545 347 465 746 
850	564 671 518 701 623 
851	217 359 359 592 313 
852	65 606 424 454 488 
819	585 18 448 
858	204 268 695 455 191 
859	436 576 603 22 
1081	239 475 359 388 359 
748	448 720 596 
6	359 15 359 640 484 
1150	536 129 399 476 184 
900	440 79 50 65 454 
848	701 663 211 257 577 524 
99	651 731 737 737 651 
98	224 601 628 
844	742 711 661 535 
1085	558 411 436 188 
91	344 323 565 62 
90	145 478 164 611 
93	560 458 279 279 128 562 
92	392 514 40 282 22 
95	308 438 669 405 
94	406 431 466 
97	13 732 431 472 
96	737 106 651 15 737 651 
814	70 480 488 
1030	518 671 623 692 
815	706 65 517 454 440 
1098	7 211 731 163 572 
1066	359 359 549 457 313 
740	217 359 359 704 632 
741	548 729 729 89 547 295 64 
742	631 547 360 298 322 65 322 454 
743	352 341 177 580 
559	321 113 611 481 516 
558	319 659 308 50 516 
746	651 651 374 305 412 
747	359 359 309 19 341 
555	181 412 651 651 549 
554	313 359 359 549 217 
557	81 462 458 150 275 
556	662 24 45 
551	64 322 322 500 548 44 630 
550	155 437 588 717 
553	491 312 52 311 
552	669 614 349 52 
238	29 113 665 445 
239	137 520 431 615 
234	614 239 349 612 
235	107 333 19 365 224 
236	202 709 583 737 737 709 
237	514 679 574 213 603 
230	405 651 548 651 547 322 64 322 
231	436 409 411 343 608 
232	549 308 224 296 
233	460 73 359 359 313 
1050	447 438 720 157 
1051	711 277 459 388 
1052	674 458 639 462 78 275 
1053	487 172 9 58 
1054	500 548 71 519 258 64 
1055	461 38 448 574 
1056	65 454 488 440 
1057	18 481 115 632 
1058	359 323 359 632 704 
1059	547 500 168 692 89 
992	71 258 618 546 632 
1	359 111 359 108 714 
614	172 256 45 359 359 
146	322 322 365 614 349 528 
147	631 660 659 365 573 
144	60 323 701 717 
145	572 454 65 488 
142	305 531 133 328 
143	305 309 45 360 
140	40 163 58 155 
141	117 223 478 48 343 
612	427 712 334 
613	651 651 359 359 236 632 
610	305 497 279 279 488 
611	130 317 648 397 
616	697 536 129 554 431 
617	701 465 481 546 
148	565 500 583 216 
149	405 296 328 115 
1007	279 279 333 333 365 107 692 
912	478 549 359 336 359 
1139	275 458 39 319 632 199 
1006	701 644 331 296 
951	267 236 720 108 
1005	573 631 99 338 298 205 640 63 
1082	567 9 155 
1004	243 87 648 537 418 
948	393 113 507 642 604 
949	269 548 142 522 64 550 157 
946	432 71 258 29 604 
947	276 507 567 289 445 
944	637 448 29 
945	255 363 633 650 
942	517 353 91 743 359 359 
943	707 613 71 258 155 
940	453 714 720 177 
941	603 251 155 
768	311 45 268 363 63 
689	651 651 354 313 589 
688	747 546 442 199 
685	288 534 611 516 
684	545 549 535 460 359 359 
687	322 322 478 71 111 258 
686	659 73 546 460 
681	65 12 454 572 17 
680	431 443 58 
683	687 71 258 29 113 
682	691 175 257 296 
623	704 720 615 459 
622	576 337 359 359 336 
133	467 98 659 127 
132	488 600 44 118 557 360 
131	115 448 7 585 
130	311 659 236 19 
137	651 62 204 737 737 651 
136	118 358 
135	7 324 165 199 
134	654 377 279 279 304 304 
494	255 235 415 701 408 
495	172 26 359 709 709 359 
139	309 632 209 709 709 
138	308 524 296 363 
490	282 91 344 651 651 22 
491	100 547 322 298 333 333 548 322 64 
492	274 236 355 21 
493	583 179 542 21 
24	651 412 374 651 737 737 
25	341 546 480 295 
26	202 15 563 73 
27	129 518 701 671 577 
20	91 121 359 359 445 
21	309 350 652 4 
22	372 709 399 98 445 709 
23	687 252 651 737 737 651 
927	737 737 313 544 714 
28	385 683 683 91 675 
29	254 171 222 720 
407	3 285 673 376 
406	458 573 87 351 107 487 63 
405	337 704 556 359 359 
404	46 651 651 187 489 487 
403	60 202 98 632 
402	651 651 737 516 737 613 258 
401	370 193 204 360 
400	712 701 155 
933	211 444 563 385 359 359 
932	651 651 188 436 433 
931	387 364 604 
930	456 644 745 745 448 
937	243 444 651 651 737 714 737 
629	29 71 652 258 295 
409	300 98 524 296 
408	375 704 709 709 313 
1069	478 709 709 651 651 549 
628	545 651 651 737 737 376 
1028	313 359 692 632 359 
758	704 297 721 297 295 
1178	174 174 642 671 388 
1018	637 134 741 304 304 
379	696 268 204 62 720 
378	448 18 7 
829	115 217 359 313 359 
828	664 375 19 455 
1060	709 709 563 675 385 
371	305 704 7 692 
370	651 651 412 697 466 
373	448 494 328 
372	368 549 69 224 
375	431 347 129 571 536 
374	665 239 651 651 514 
377	386 313 618 704 
376	386 268 376 694 
1019	197 682 335 619 619 
708	163 488 385 487 
709	500 458 365 579 547 416 
1176	128 338 573 63 
704	180 615 4 714 
705	285 474 615 31 
706	7 296 448 
707	296 308 436 188 
700	359 359 709 556 709 336 
618	359 359 601 592 439 
702	115 359 127 359 696 
703	516 612 321 52 282 
393	344 651 651 374 106 
392	228 651 651 721 311 
88	15 416 163 58 
89	360 454 65 615 305 
397	644 701 331 296 
396	40 72 90 18 
395	365 62 322 729 631 322 729 
394	181 220 691 183 
82	411 713 30 280 
83	585 144 24 328 
80	651 651 737 33 737 15 
81	15 289 50 535 714 
86	65 370 454 623 360 
87	409 202 436 
84	115 730 546 29 
85	328 15 71 323 258 
797	308 162 436 411 
796	332 441 68 
795	219 658 308 675 
794	273 690 102 431 264 
793	177 618 189 684 
792	574 613 209 359 359 457 
791	7 487 437 238 
790	67 136 240 535 
1170	709 341 709 60 15 
799	377 416 585 327 
798	161 321 422 365 354 547 573 
7	465 659 549 313 
601	64 729 548 547 729 385 138 
607	614 441 68 349 
586	490 611 106 63 
587	337 106 202 331 
584	313 172 701 15 
585	737 50 737 632 313 
582	442 728 677 726 
583	120 651 651 736 313 
580	618 651 651 204 737 737 
976	163 440 324 160 160 
1133	90 130 155 
1132	359 359 445 313 476 
1131	445 22 296 331 282 
1130	608 533 705 
1137	431 192 299 
1136	399 209 618 282 22 
588	359 313 363 359 341 
589	239 333 298 333 45 631 
245	423 573 19 365 86 388 
244	234 735 431 533 688 
247	660 332 573 655 
246	65 454 486 370 572 
241	62 741 193 204 
240	368 479 665 704 
243	585 556 248 96 
242	292 283 488 
615	65 239 454 488 
249	350 267 295 717 
248	71 168 500 322 322 
924	172 442 308 431 
970	243 321 179 385 528 
925	707 305 577 468 643 48 
519	63 631 365 333 333 19 
518	631 365 351 573 319 
926	81 737 714 737 313 
1009	315 113 155 
1008	91 134 701 313 
511	412 106 717 19 
510	370 108 239 457 
513	614 349 305 487 
512	117 672 701 672 
515	595 612 465 402 
514	669 71 433 258 528 
517	412 238 26 408 
516	61 481 239 113 
458	609 625 701 671 
459	560 375 585 63 
621	634 43 339 159 
620	458 610 150 333 333 433 63 
627	228 720 375 33 
626	363 313 202 98 
625	692 659 457 359 359 
624	202 477 24 313 
450	137 574 50 628 692 
451	313 72 9 350 
452	246 395 214 
453	355 632 184 359 359 
454	581 73 15 359 359 
455	374 576 632 295 
456	714 309 297 297 684 
457	15 405 486 475 
1084	126 337 687 475 
979	380 18 546 113 
179	71 258 585 98 546 
178	147 332 23 
177	651 651 737 737 264 
176	725 108 350 717 
175	612 15 52 565 
174	202 370 171 632 
173	488 192 440 
172	734 174 23 174 332 
171	431 732 328 720 
170	563 590 172 71 258 709 709 
977	547 322 365 15 322 631 333 333 
656	563 172 439 359 359 
975	478 359 108 359 184 
974	196 201 737 374 651 651 737 
973	202 331 374 282 
972	693 179 226 405 
971	328 412 344 
657	460 667 113 28 
1080	549 15 96 341 
654	118 202 163 665 
253	228 172 153 311 
978	563 359 359 144 127 
182	224 576 659 15 
183	411 436 89 362 
180	635 308 709 709 611 
181	108 313 184 295 
186	452 482 746 131 
187	436 378 516 
184	448 478 549 598 
185	69 7 714 184 
886	71 489 58 155 
652	71 258 322 322 15 386 
188	202 359 127 675 359 
189	583 436 188 516 321 
1122	586 192 401 714 
658	347 236 4 704 
653	704 15 375 652 
1110	740 729 548 50 729 414 64 
1123	740 729 651 651 729 
650	467 295 386 217 
1124	354 137 703 388 
651	651 651 737 737 388 341 
1125	709 709 563 361 26 
1148	395 720 389 
1089	331 465 268 11 63 
764	524 322 322 729 591 729 
1088	209 224 386 701 
11	618 359 359 313 15 
10	684 618 209 370 
13	282 124 478 313 22 
12	112 563 549 202 
15	396 323 689 330 
14	337 113 72 445 
17	478 514 359 359 180 21 
16	574 686 15 313 603 
19	597 98 15 632 
18	618 737 737 651 651 514 
863	390 308 611 591 
862	148 252 433 332 
865	117 512 506 28 
864	363 344 204 295 
867	553 202 155 
866	699 513 495 688 
884	651 651 62 714 184 
938	448 364 385 
659	108 615 686 39 184 
883	365 548 729 322 631 322 729 64 
753	112 542 239 313 
881	392 399 312 282 22 
880	704 405 217 158 
887	91 344 651 651 322 322 
831	114 546 113 337 
885	202 484 478 26 
752	709 709 478 15 474 
928	22 516 282 363 445 
62	585 454 572 
888	327 359 359 60 487 
1012	104 429 429 573 63 
1032	107 321 333 333 585 365 322 322 
950	256 69 448 
756	478 308 328 611 
1179	633 732 58 222 
929	640 62 311 439 
809	2 503 213 
322	221 546 29 113 
323	434 628 84 
320	65 395 454 192 488 
321	69 374 268 204 
326	267 401 202 514 
327	560 450 657 597 
324	709 709 50 297 297 359 439 359 
325	6 402 
328	308 312 311 479 
329	23 734 332 
759	359 359 709 563 311 709 
201	27 305 258 71 166 
200	553 727 591 381 
203	615 58 181 445 
202	720 714 675 684 
205	386 651 651 359 359 393 
204	704 313 359 718 359 
207	458 187 134 495 535 
206	359 359 313 115 281 
209	127 209 98 487 
208	631 566 333 298 333 45 
779	573 202 322 239 322 338 319 
778	29 510 428 75 253 
889	436 188 718 169 
77	576 610 608 69 
76	717 267 297 297 684 
75	648 59 718 95 397 
74	620 408 292 
73	40 448 113 
72	640 651 651 370 169 
71	101 500 547 630 89 
70	202 484 549 546 
655	65 603 555 746 454 
79	235 238 408 221 618 
78	305 709 709 33 3 399 
2	323 209 483 465 
1042	313 267 96 514 
1041	645 576 328 115 
1040	502 481 445 514 
1047	235 106 412 344 
1043	63 399 78 514 
1045	631 365 351 573 107 
1044	347 479 684 704 
1049	238 209 459 704 
1048	105 190 29 
805	448 514 71 144 258 
804	651 651 737 737 701 33 
1142	186 430 450 604 
1143	63 365 333 333 279 107 279 
1140	500 660 548 574 655 64 
1141	585 71 258 332 
1146	427 290 686 559 
1147	712 132 559 
669	297 632 297 651 651 737 737 169 
668	397 298 326 631 455 
667	585 606 743 628 
666	239 344 93 128 268 
665	260 58 238 388 
664	631 383 298 500 548 574 640 64 
663	224 147 130 375 
662	172 563 202 546 
661	454 279 65 572 279 
660	565 7 583 669 
769	576 386 327 415 
692	353 589 333 298 333 631 
693	322 322 336 313 359 359 
690	279 279 18 691 113 
691	527 623 506 388 
696	193 45 654 21 
697	106 383 500 548 631 489 64 
694	7 549 393 386 
695	714 454 483 420 65 
698	365 333 333 478 134 631 
699	701 295 704 385 
542	172 295 209 704 
543	202 86 365 573 423 
540	118 454 360 202 65 
546	315 675 311 295 
547	393 251 701 671 
544	603 704 174 718 459 174 
545	474 290 24 174 174 
8	33 684 659 69 
548	144 7 662 363 
549	39 720 238 684 
68	359 359 714 479 632 87 
598	169 15 445 224 
995	411 558 436 50 258 
869	75 149 211 407 510 
997	93 344 160 204 160 
996	350 72 9 295 
991	33 296 308 481 
990	213 15 69 
993	315 747 34 350 
868	576 370 675 7 
999	7 721 445 217 
998	500 548 168 64 353 144 
120	608 328 163 488 
121	267 297 192 262 297 
122	426 625 199 98 
123	388 454 130 65 160 160 
124	42 355 98 479 
125	47 478 651 163 737 737 651 
126	174 174 669 204 481 
127	478 172 659 108 
128	731 350 155 
129	123 192 121 445 
765	15 668 14 18 
1016	365 466 573 205 338 63 
1128	460 563 565 108 
1010	563 359 322 359 313 322 
1011	687 651 62 737 737 651 
414	549 590 323 26 318 
415	479 615 498 401 535 
416	484 21 3 50 108 192 
417	720 192 395 533 
410	107 239 237 548 500 573 64 
411	583 21 669 709 709 
412	306 690 370 572 
413	618 359 359 15 632 
920	200 484 273 459 
498	350 72 585 295 
922	243 239 87 462 319 596 
923	353 322 45 268 322 63 
418	344 93 62 11 63 
419	691 484 502 481 
776	323 313 336 632 
499	337 344 359 359 15 
319	411 436 188 419 732 
318	421 632 312 563 331 
313	439 149 7 313 
312	33 476 108 546 
311	720 495 181 84 
310	305 416 360 460 
317	536 215 488 
316	49 648 375 
315	574 603 486 175 477 
314	402 448 614 349 
1177	355 81 563 359 359 
861	359 359 359 69 563 172 
921	386 651 651 91 115 
1126	212 440 431 676 
1181	29 521 24 7 
496	193 412 45 21 
1134	651 651 737 469 98 737 
832	437 62 386 487 
833	236 62 378 516 
830	737 737 651 98 651 63 
497	239 691 24 183 
836	729 298 325 631 729 632 
837	47 322 740 729 322 729 
834	107 333 333 341 365 607 600 
835	731 283 123 665 
838	487 39 332 489 
839	659 360 358 385 
808	711 677 334 559 
3	549 203 476 313 
725	460 567 363 457 
368	450 632 546 437 
369	189 400 608 747 
366	224 431 328 
367	603 500 458 462 163 593 
364	374 709 709 704 632 
365	328 585 704 337 
362	71 322 737 113 737 322 
363	184 359 359 295 684 
360	585 448 258 375 
361	687 137 530 572 433 
959	377 585 190 332 
1168	644 346 568 604 
1138	583 465 481 611 
952	75 79 407 707 
882	254 347 676 191 
380	563 325 359 359 313 
381	202 374 583 514 
382	680 179 213 542 
383	268 91 509 204 69 
384	554 442 727 328 204 
385	514 3 563 336 385 
386	632 359 376 479 359 
387	359 476 479 359 388 
388	416 412 651 651 45 
389	440 454 659 85 
784	691 644 24 469 
785	665 406 431 40 
786	40 72 346 58 
787	692 684 295 33 
780	536 129 418 59 553 605 
781	375 747 239 662 
782	267 192 476 493 
783	7 549 704 236 
788	433 454 290 492 65 
789	347 192 328 720 
1174	321 631 333 333 298 181 687 
860	603 576 431 574 327 
605	18 113 450 546 
579	141 14 124 50 115 
578	195 262 424 515 
604	305 412 18 694 
573	297 359 208 322 359 297 322 
572	344 689 662 
571	591 710 607 600 551 512 
570	91 158 45 1 
577	436 378 611 349 614 52 
576	71 258 337 297 747 297 
575	365 333 333 279 645 107 279 
574	315 15 50 445 29 
60	337 113 258 71 546 
61	171 349 614 5 516 
258	563 202 69 311 
259	386 651 651 45 412 
64	110 258 654 720 
65	659 472 192 457 
66	399 709 709 372 457 479 
67	203 308 399 331 
252	359 359 202 592 121 
69	659 221 235 687 
250	740 548 729 709 709 729 64 
251	337 121 359 359 601 
256	308 378 516 52 
257	273 690 638 
254	98 295 466 29 
255	115 581 172 313 
603	292 98 283 
1172	554 740 333 333 163 
602	202 323 209 445 
939	460 359 692 359 632 
731	359 22 359 113 296 282 
730	15 328 181 84 
733	315 364 328 155 
732	553 313 12 132 
735	76 399 374 627 
734	322 359 322 359 692 313 
508	305 478 565 669 503 
509	651 651 91 701 444 87 
506	487 630 500 163 
507	478 651 651 737 737 21 
504	224 685 272 523 
505	411 242 583 188 558 
502	359 359 445 224 127 
503	341 33 466 659 
500	412 322 359 322 632 359 
501	297 297 747 121 474 
630	564 71 328 258 466 
631	203 478 202 620 
632	210 78 24 481 
633	121 399 202 587 
469	405 546 257 552 98 
468	108 313 60 236 
636	740 333 333 460 401 
637	478 624 737 651 651 737 91 
465	368 203 132 144 
464	612 565 583 52 
467	172 313 632 359 359 
466	192 363 341 487 
461	385 79 359 632 359 
460	322 343 365 48 322 475 
463	79 740 519 313 
462	159 147 151 
901	745 304 745 304 202 343 
168	458 150 377 416 556 
169	618 565 669 405 
164	548 740 294 322 294 64 322 
165	127 209 224 632 
166	92 96 325 185 4 
167	136 737 737 651 651 601 
160	432 606 11 
161	615 335 628 
162	457 632 514 385 
163	408 601 704 7 
964	499 741 347 238 
965	676 460 484 652 
966	184 19 355 295 
967	149 492 327 58 
960	709 374 359 359 295 709 
961	615 108 675 29 
962	654 243 432 444 
963	417 606 190 
1129	202 308 618 516 
968	322 298 106 45 322 
969	231 364 448 
936	155 557 659 251 
1106	6 391 
1107	204 258 69 514 
1104	399 709 26 709 236 
1105	728 467 559 514 
1102	327 62 692 665 
935	98 28 155 
1100	509 653 356 340 
1101	472 23 18 16 
934	466 351 365 318 573 107 
908	344 412 106 363 
1108	308 614 192 349 
1109	370 333 333 454 63 
909	344 93 204 268 
1096	387 118 332 17 
1090	322 213 349 322 614 528 
1091	99 737 91 651 489 374 651 737 
600	322 333 333 548 322 169 64 
878	238 690 118 719 
879	737 737 651 651 344 171 
876	71 258 337 26 546 
877	344 374 651 651 359 359 
874	81 121 318 295 
875	301 678 155 
872	476 184 445 192 
873	606 332 676 163 
870	305 427 328 
871	153 721 651 651 322 322 
1155	7 211 318 319 444 445 
1154	312 433 395 686 
9	478 172 458 313 319 
1158	416 328 513 738 
1157	359 359 106 581 576 
890	36 377 580 
891	478 172 15 704 
892	731 174 174 653 104 
893	322 500 548 322 522 64 593 
894	565 478 669 217 60 
647	563 172 359 121 359 
896	396 399 443 21 
897	427 711 431 328 
898	311 323 312 7 72 
899	418 232 271 258 
1087	174 18 727 328 
646	688 147 292 
1116	359 359 15 313 184 
1099	720 650 318 532 321 
649	359 359 472 304 304 307 
1153	460 359 359 514 21 
648	144 565 669 721 
1152	737 737 651 651 40 29 
1086	583 71 258 669 481 
357	69 359 359 96 684 
356	495 573 628 237 
355	501 487 322 500 548 322 
354	398 23 7 115 
353	40 331 308 516 
352	71 633 260 155 258 
351	708 488 578 
350	535 163 238 328 
803	213 502 528 155 
802	553 59 536 418 
801	476 359 688 618 359 
800	418 374 741 93 344 
807	305 150 615 325 321 385 
806	295 508 321 319 714 
359	485 478 83 39 
358	28 71 258 155 
216	43 446 459 717 
217	238 177 155 258 
214	739 7 360 313 
215	478 217 359 60 359 
212	115 359 359 659 457 
213	157 224 209 111 
210	632 315 172 71 258 
211	577 229 160 160 91 
762	476 576 701 217 
763	344 606 610 
760	564 113 671 527 
761	472 24 448 291 
766	709 15 372 359 709 359 236 
767	209 563 581 15 
218	416 305 133 63 
219	719 431 163 
957	709 709 359 359 632 341 
956	416 483 488 
1033	631 365 333 333 191 63 
1169	577 214 175 707 
1078	20 686 474 311 
1079	297 563 682 50 297 709 709 
1076	202 209 18 311 
1074	429 429 615 98 573 
1075	584 428 111 596 
1072	377 644 583 585 
1073	123 549 675 714 
1070	460 71 258 193 737 737 
1071	277 352 223 45 
289	477 691 197 296 
288	549 313 341 21 
1003	431 553 536 129 49 
4	313 478 359 98 359 
281	553 436 188 433 
280	359 359 478 70 363 
283	333 333 298 631 217 577 707 
282	33 563 127 181 
285	313 359 359 91 336 
284	651 737 737 651 163 
287	407 174 652 58 174 
286	524 391 331 448 
1094	29 603 574 684 341 
1095	388 643 343 384 
1083	71 583 74 258 737 436 737 514 
1097	403 290 71 7 258 
678	457 202 359 359 632 
679	336 108 692 632 
1092	202 172 15 632 
1093	344 359 98 336 359 
674	692 328 24 7 
675	297 297 72 457 388 
676	375 460 163 360 718 
677	651 309 27 651 28 
670	96 386 58 350 
671	100 298 547 333 333 548 313 64 
672	375 49 579 548 500 
673	322 321 333 333 313 365 322 107 
263	651 460 737 737 717 651 
262	651 651 737 737 717 33 
261	333 298 333 353 322 631 322 
260	21 651 651 91 19 
267	328 70 691 470 477 
266	144 352 353 24 
265	682 158 192 652 
264	284 545 328 433 488 
1121	646 583 681 202 
1031	618 319 282 632 
269	553 203 181 535 
268	714 690 192 236 
701	714 545 193 204 
59	588 395 431 403 
58	328 585 701 727 18 
55	386 91 651 651 585 
54	192 363 184 514 
57	416 7 328 406 
56	385 576 599 183 
51	374 113 308 477 
50	193 333 333 45 63 
53	192 692 58 181 
52	71 258 585 7 546 
537	412 29 439 675 563 
536	581 659 313 217 
535	113 91 546 701 
63	1 193 106 45 
533	610 654 344 93 298 
532	583 62 349 614 514 
531	729 740 322 313 729 322 
530	467 344 120 651 651 
539	86 327 365 585 573 423 
538	651 651 344 737 737 15 
987	344 359 98 457 359 
775	449 720 684 341 
988	548 64 322 322 519 260 
989	359 33 479 115 359 
1171	202 481 192 587 
774	308 614 349 236 448 
982	214 574 603 327 
983	228 610 62 45 
980	308 516 644 507 
981	563 143 313 359 359 
986	557 352 155 
777	709 709 581 478 388 
984	605 136 370 347 
985	365 333 333 386 631 687 
115	333 298 333 631 108 
114	321 651 651 458 737 737 319 
117	589 28 155 
116	33 476 29 632 
111	392 478 282 15 
110	651 651 737 737 71 258 632 
113	71 585 268 62 258 29 
112	747 377 352 546 
771	458 359 359 747 297 457 297 
119	84 651 91 495 651 
118	641 553 206 707 536 
770	149 321 258 628 
773	201 344 93 715 106 607 
772	637 487 532 88 27 
953	660 354 547 573 107 487 
429	150 7 698 386 704 
428	174 549 71 295 258 
534	202 460 123 261 
919	463 367 466 
918	423 365 322 322 50 71 258 573 
421	183 477 202 481 
420	602 413 295 347 
423	478 202 714 479 
422	93 149 69 63 
425	502 478 355 217 
424	651 585 737 737 651 701 
427	644 471 404 391 
426	80 378 277 21 
308	648 
309	651 651 741 71 258 236 
855	561 462 98 243 249 211 444 
300	691 481 686 
301	331 392 40 282 22 
302	374 144 359 295 359 
303	277 328 204 692 
304	120 481 7 313 
305	178 100 729 740 322 729 322 
306	112 481 618 669 
307	308 411 409 436 296 
895	709 363 590 478 709 258 
825	737 651 91 315 651 737 
824	412 416 549 618 
827	659 360 192 675 
847	286 478 682 282 22 
846	615 657 155 
826	737 651 651 737 371 717 
843	427 158 96 58 
841	64 458 729 343 548 547 729 150 
840	657 625 691 671 
1151	407 636 253 363 
821	458 548 729 729 150 77 64 651 651 319 
853	576 7 375 374 
849	462 458 532 433 488 150 
820	40 481 385 632 
823	563 323 15 460 127 
822	557 629 720 
1164	458 569 209 45 62 
954	19 209 160 160 457 
1034	65 454 360 484 488 
1127	21 344 704 563 
1159	88 454 65 746 487 
1165	359 15 478 479 359 
1068	147 437 93 62 63 
1038	496 436 411 606 
1039	374 355 632 587 
1046	704 478 479 19 
1166	322 651 549 651 737 737 322 
568	435 102 39 15 
569	106 405 433 124 
751	377 140 327 
750	709 618 709 632 15 
757	107 322 116 322 388 
737	33 399 124 282 
755	714 305 132 439 
754	297 297 359 355 359 313 
560	251 90 84 675 
561	308 113 665 71 258 
562	7 507 144 113 
563	444 211 140 716 7 418 
564	349 614 144 71 258 
565	746 62 204 488 
566	702 455 402 404 
567	388 655 211 116 573 
739	707 553 120 664 536 321 
229	26 359 359 722 632 
228	360 18 608 480 
227	714 370 544 535 
226	293 76 359 359 313 
225	412 123 359 457 359 
224	659 355 618 33 
223	115 458 720 627 556 
222	651 651 223 412 98 
221	324 442 311 460 
220	369 744 627 623 
1001	565 669 405 313 
1024	192 618 58 717 
1027	651 737 243 444 651 737 19 
1026	632 209 313 717 
1021	174 341 572 174 535 
1020	18 359 359 71 353 258 
1023	73 445 704 15 
1022	7 313 172 108 
1036	235 155 50 388 
1184	478 359 359 171 184 
1115	370 513 625 28 
1029	328 27 595 559 
391	309 11 469 157 239 
1180	12 746 520 454 65 
1037	563 267 217 15 
726	463 115 256 363 
727	555 507 113 29 529 
724	618 684 267 121 
390	462 211 488 433 440 
722	150 321 581 659 684 180 
723	26 217 684 1 
720	565 292 20 
721	651 651 692 684 526 
1160	383 548 500 353 322 322 64 
1035	113 450 91 701 
1167	192 113 407 253 
728	590 372 399 709 21 709 439 
729	273 154 332 208 264 
151	669 528 199 
150	410 408 155 72 9 
153	669 583 565 297 297 
152	412 651 651 344 416 
155	115 279 279 96 332 
154	563 514 53 701 
157	189 193 62 676 
156	258 71 18 24 480 
